x,y
82.73,102.73
79.53,99.53
66.86,86.86
69.21,89.21
82.2,102.2
84.32,104.32
71.12,91.12
85.64,105.64
69.22,89.22
83.12,103.12
84.31,104.31
75.6,95.6
69.04,89.04
85.41,105.41
17.44,37.44
68.92,88.92
69.95,89.95
0.15,20.15
73.96,93.96
27.7,47.7
97.97,117.97
56.21,76.21
30.27,50.27
37.47,57.47
98.98,118.98
92.61,112.61
4.72,24.72
19.51,39.51
94.74,114.74
31.66,51.66
94.76,114.76
32.73,52.73
32.64,52.64
38.78,58.78
91.47,111.47
77.99,97.99
33.38,53.38
79.28,99.28
39.69,59.69
95.47,115.47
82.64,102.64
25.53,45.53
68.58,88.58
92.25,112.25
74.79,94.79
1.32,21.32
53.85,73.85
78.75,98.75
2.91,22.91
90.68,110.68
11.44,31.44
30.72,50.72
49.06,69.06
49.09,69.09
62.54,82.54
38.83,58.83
78.43,98.43
69.49,89.49
27.27,47.27
80.06,100.06
5.73,25.73
80.21,100.21
8.47,28.47
86.98,106.98
64.26,84.26
95.74,115.74
15.06,35.06
31.96,51.96
95.27,115.27
61.1,81.1
27.51,47.51
26.48,46.48
92.61,112.61
8.25,28.25
90.69,110.69
45.4,65.4
23.59,43.59
46.71,66.71
21.15,41.15
27.99,47.99
7.75,27.75
13.7,33.7
74.85,94.85
50.93,70.93
33.8,53.8
80.99,100.99
92.41,112.41
92.61,112.61
34.7,54.7
35.07,55.07
86.87,106.87
41.99,61.99
16.27,36.27
36.31,56.31
22.35,42.35
89.11,109.11
56.11,76.11
51.9,71.9
35.74,55.74
10.66,30.66
61.27,81.27
77.55,97.55
61.17,81.17
15.54,35.54
91.99,111.99
12.91,32.91
48.52,68.52
54.88,74.88
73.59,93.59
5.49,25.49
92.31,112.31
48.5,68.5
40.02,60.02
48.22,68.22
17.08,37.08
34.27,54.27
59.06,79.06
92.71,112.71
37.7,57.7
77.11,97.11
43.27,63.27
79.71,99.71
0.86,20.86
3,23
56.03,76.03
