x,y
82.73,126.7806
79.53,122.8766
66.86,107.4192
69.21,110.2862
82.2,126.134
84.32,128.7204
71.12,112.6164
85.64,130.3308
69.22,110.2984
83.12,127.2564
84.31,128.7082
75.6,118.082
69.04,110.0788
85.41,130.0502
17.44,47.1268
68.92,109.9324
69.95,111.189
0.15,26.033
73.96,116.0812
27.7,59.644
97.97,145.3734
56.21,94.4262
30.27,62.7794
37.47,71.5634
98.98,146.6056
92.61,138.8342
4.72,31.6084
19.51,49.6522
94.74,141.4328
31.66,64.4752
94.76,141.4572
32.73,65.7806
32.64,65.6708
38.78,73.1616
91.47,137.4434
77.99,120.9978
33.38,66.5736
79.28,122.5716
39.69,74.2718
95.47,142.3234
82.64,126.6708
25.53,56.9966
68.58,109.5176
92.25,138.395
74.79,117.0938
1.32,27.4604
53.85,91.547
78.75,121.925
2.91,29.4002
90.68,136.4796
11.44,39.8068
30.72,63.3284
49.06,85.7032
49.09,85.7398
62.54,102.1488
38.83,73.2226
78.43,121.5346
69.49,110.6278
27.27,59.1194
80.06,123.5232
5.73,32.8406
80.21,123.7062
8.47,36.1834
86.98,131.9656
64.26,104.2472
95.74,142.6528
15.06,44.2232
31.96,64.8412
95.27,142.0794
61.1,100.392
27.51,59.4122
26.48,58.1556
92.61,138.8342
8.25,35.915
90.69,136.4918
45.4,81.238
23.59,54.6298
46.71,82.8362
21.15,51.653
27.99,59.9978
7.75,35.305
13.7,42.564
74.85,117.167
50.93,87.9846
33.8,67.086
80.99,124.6578
92.41,138.5902
92.61,138.8342
34.7,68.184
35.07,68.6354
86.87,131.8314
41.99,77.0778
16.27,45.6994
36.31,70.1482
22.35,53.117
89.11,134.5642
56.11,94.3042
51.9,89.168
35.74,69.4528
10.66,38.8552
61.27,100.5994
77.55,120.461
61.17,100.4774
15.54,44.8088
91.99,138.0778
12.91,41.6002
48.52,85.0444
54.88,92.8036
73.59,115.6298
5.49,32.5478
92.31,138.4682
48.5,85.02
40.02,74.6744
48.22,84.6784
17.08,46.6876
34.27,67.6594
59.06,97.9032
92.71,138.9562
37.7,71.844
77.11,119.9242
43.27,78.6394
79.71,123.0962
0.86,26.8992
3,29.51
56.03,94.2066
17.66,47.3952
18.39,48.2858
31.08,63.7676
32.64,65.6708
51.68,88.8996
78.46,121.5712
9.57,37.5254
68.38,109.2736
30.29,62.8038
86.15,130.953
16.82,46.3704
3.35,29.937
65.78,106.1016
50.7,87.704
38.26,72.5272
85.52,130.1844
44.06,79.6032
44.09,79.6398
81.86,125.7192
33.98,67.3056
93.8,140.286
59.58,98.5376
98.75,146.325
88.98,134.4056
78.08,121.1076
82.77,126.8294
76.49,119.1678
55.38,93.4136
46.56,82.6532
83.92,128.2324
81.38,125.1336
4.88,31.8036
4.57,31.4254
57.96,96.5612
33.42,66.6224
9.95,37.989
47.14,83.3608
63.17,102.9174
95.01,141.7622
30.36,62.8892
2.46,28.8512
69.75,110.945
64.85,104.967
25.18,56.5696
69.84,111.0548
40.43,75.1746
75.61,118.0942
36.75,70.685
50.08,86.9476
64.97,105.1134
41.72,76.7484
1.7,27.924
99.93,147.7646
24.57,55.8254
75.23,117.6306
1.95,28.229
78.84,122.0348
67.38,108.0536
55.35,93.377
58.1,96.732
53.1,90.632
41.24,76.1628
68.86,109.8592
87.36,132.4292
54.06,91.8032
64.12,104.0764
11.77,40.2094
99.43,147.1546
55.24,93.2428
56.44,94.7068
39.47,74.0034
8.94,36.7568
92.91,139.2002
87.68,132.8196
80.37,123.9014
56.72,95.0484
0.76,26.7772
26.98,58.7656
0.39,26.3258
81.99,125.8778
88.32,133.6004
51.01,88.0822
21.38,51.9336
72.66,114.4952
18.04,47.8588
11.22,39.5384
36.75,70.685
64.81,104.9182
72.72,114.5684
24.03,55.1666
41.38,76.3336
62.79,102.4538
63.66,103.5152
91.12,137.0164
7.41,34.8902
94.05,140.591
53.12,90.6564
68.31,109.1882
25.33,56.7526
42.34,77.5048
94.61,141.2742
43.78,79.2616
50.18,87.0696
81.64,125.4508
11.27,39.5994
41.03,75.9066
21.25,51.775
29.23,61.5106
35.74,69.4528
0.91,26.9602
30.08,62.5476
23.99,55.1178
90.79,136.6138
99.22,146.8984
94.21,140.7862
19.35,49.457
82.04,125.9388
79.22,122.4984
83.4,127.598
55.82,93.9504
42.49,77.6878
17.6,47.322
35.65,69.343
82.5,126.5
81.15,124.853
53.47,91.0834
44.3,79.896
32.88,65.9636
99.26,146.9472
76.32,118.9604
78.97,122.1934
18.08,47.9076
87.01,132.0022
56.25,94.475
42.62,77.8464
15.95,45.309
47.85,84.227
6.61,33.9142
66.38,106.8336
94.97,141.7134
42.29,77.4438
31.48,64.2556
69.67,110.8474
30.41,62.9502
2.98,29.4856
8.12,35.7564
80.41,123.9502
63.68,103.5396
24.6,55.862
77.61,120.5342
39.87,74.4914
77.8,120.766
58.53,97.2566
23.97,55.0934
7.77,35.3294
0.8,26.826
6.45,33.719
45.32,81.1404
35.56,69.2332
65.05,105.211
62.21,101.7462
86.61,131.5142
87.91,133.1002
48.08,84.5076
2.41,28.7902
69.55,110.701
22.07,52.7754
61.87,101.3314
82.5,126.5
26.97,58.7534
31.53,64.3166
1.81,28.0582
72.57,114.3854
88.88,134.2836
63.9,103.808
93.29,139.6638
86.26,131.0872
